Id,TagName,Count,ExcerptPostId,WikiPostId
599,collaboration,77,NULL,NULL
602,orm,212,133729,133728
603,django,157,133796,133795
604,javafx,33,206742,206741
608,recruiting,13,206944,206943
609,design,3368,79295,79294
615,web-tools,3,NULL,NULL
617,syntax-highlight,9,NULL,NULL
619,writing,19,235310,235309
622,multi-core,25,NULL,NULL
626,data-types,99,NULL,NULL
627,cowboy-coding,9,NULL,NULL
628,visual-basic,24,179513,179512
633,budget,11,NULL,NULL
638,plugins,56,NULL,NULL
639,mercurial,106,124389,124388
641,distributed-computing,109,NULL,NULL
643,basic,12,40782,40781
644,contract,51,167341,167340
646,interruptions,2,NULL,NULL
649,stories,10,NULL,NULL
650,product-owner,32,187020,187019
651,microsoft,77,138444,138443
655,delphi,62,83023,83022
659,load-testing,12,194994,194993
660,notepad++,4,49266,49265
661,customer-relations,47,NULL,NULL
667,platforms,12,NULL,NULL
669,wcf,158,135197,135196
671,puzzles,15,280093,280092
673,cryptography,42,NULL,NULL
676,support,31,NULL,NULL
680,conditions,91,NULL,NULL
681,naming,463,136276,136275
682,github,275,164691,164690
687,optimization,295,135919,135918
688,jit,30,167602,167601
690,prototyping,63,179507,179506
691,automation,86,167529,167528
693,pronunciation,5,NULL,NULL
694,functions,201,158159,158158
696,implementations,64,NULL,NULL
700,bsd,14,NULL,NULL
703,industry,14,NULL,NULL
704,computer-architecture,46,358597,358596
717,changes,25,NULL,NULL
728,services,82,NULL,NULL
730,jdbc,25,276058,276057
732,mono,32,67234,67233
734,eclipse,56,47904,47903
735,visual-studio,217,71128,71127
736,distributed-development,31,NULL,NULL
738,free-software,43,154470,154469
740,binary,72,NULL,NULL
742,code-generation,45,NULL,NULL
746,requirements,280,111999,111998
748,azure,99,216861,216860
751,amazon-ec2,19,NULL,NULL
755,javascript,1712,47886,47885
756,programming-logic,47,232519,232518
761,language-choice,31,167357,167356
762,cross-platform,123,136730,136729
765,enterprise-architecture,199,171600,171599
768,software-updates,54,NULL,NULL
772,forward-compatibility,3,NULL,NULL
775,workflows,201,179317,179316
781,obfuscation,24,NULL,NULL
785,hacking,20,NULL,NULL
787,silverlight,70,47913,47912
788,formal-methods,13,NULL,NULL
790,architecture,1986,112001,112000
791,gui,200,64506,64505
798,personal-projects,51,143983,143982
802,user-group,6,NULL,NULL
803,community,17,NULL,NULL
808,strings,162,302180,302179
809,debugging,202,136113,136112
811,knowledge,18,168230,168229
813,dvcs,65,131988,131987
815,sharepoint,15,NULL,NULL
817,coding-style,795,121325,121324
818,kanban,37,81793,81792
819,quality-attributes,12,NULL,NULL
829,entity,69,NULL,NULL
834,modules,102,NULL,NULL
837,ipad,18,NULL,NULL
838,games,19,NULL,NULL
840,copyright,179,167339,167338
845,professionalism,22,NULL,NULL
847,database,1431,49032,49031
848,sequence,18,NULL,NULL
849,product-features,25,NULL,NULL
855,lgpl,122,182192,182191
856,composition,104,NULL,NULL
857,headers,58,NULL,NULL
868,time-stamp,8,NULL,NULL
869,legal,257,67915,67914
871,relationships,32,NULL,NULL
872,smalltalk,16,288986,288985
873,web,191,166753,166752
874,soa,135,132944,132943
876,time-tracking,17,NULL,NULL
879,third-party-libraries,85,NULL,NULL
883,clean-code,247,179359,179358
886,jruby,7,NULL,NULL
887,groovy,29,117777,117776
889,jvm,64,190602,190601
890,iis7,7,NULL,NULL
892,codeplex,5,NULL,NULL
897,db2,10,NULL,NULL
898,mind-mapping,5,NULL,NULL
899,anti-patterns,167,161518,161517
900,tips,7,NULL,NULL
901,web-2.0,3,NULL,NULL
903,labels,6,NULL,NULL
905,specifications,137,165867,165866
907,big-o,111,232742,232741
910,email,93,NULL,NULL
913,static-analysis,43,204687,204686
914,hungarian,8,NULL,NULL
915,notation,23,NULL,NULL
919,internationalization,84,146907,146906
920,entity-framework,267,58763,58762
921,message-queue,112,NULL,NULL
927,elance,3,NULL,NULL
928,side-effect,28,NULL,NULL
929,reverse-engineering,30,234185,234184
931,async,105,NULL,NULL
933,assertions,32,138954,138953
935,meta-programming,26,235354,235353
947,switch-statement,41,NULL,NULL
948,netbeans,17,131445,131444
950,end-user-programming,3,NULL,NULL
954,html5,178,135532,135531
955,flash,33,NULL,NULL
956,unicode,48,49669,49668
957,ajax,176,54810,54809
958,trac,5,NULL,NULL
959,construction,15,NULL,NULL
962,planning,130,167021,167020
963,interpreters,76,NULL,NULL
968,performance-tools,2,NULL,NULL
969,stress-testing,3,194992,194991
971,wordpress,29,284717,284716
972,sprint,75,205805,205804
973,sap,5,151814,151813
974,abap,3,179549,179548
978,downtime,5,NULL,NULL
980,domain-model,199,209000,208999
981,remote-desktop,6,232503,232502
983,profiling,32,NULL,NULL
988,code-formatting,50,263416,263415
993,seo,18,NULL,NULL
995,clang,12,123982,123981
996,llvm,11,139857,139856
997,specialization,6,NULL,NULL
998,sql-server,268,133722,133721
1000,mfc,10,NULL,NULL
1001,qt,84,205269,205268
1002,ui,85,182197,182196
1003,directx,6,293808,293807
1004,opengl,56,132954,132953
1005,web-framework,74,NULL,NULL
1007,case-studies,7,NULL,NULL
1008,api,736,47906,47905
1010,grammar,49,NULL,NULL
1018,utilities,11,NULL,NULL
1020,hosting,26,NULL,NULL
1021,web-hosting,25,NULL,NULL
1022,identity,32,NULL,NULL
1024,lean,17,81788,81787
1025,installer,40,NULL,NULL
1026,dependency-analysis,16,336861,336860
1027,project-structure,132,NULL,NULL
1037,web-services,507,132604,132603
1038,etl,21,123944,123943
1040,selenium,48,229008,229007
1041,gwt,21,NULL,NULL
1042,android,486,49454,49453
1043,workaround,3,NULL,NULL
1044,vaadin,2,258424,258423
1046,keyboard-shortcuts,5,NULL,NULL
1051,jpa,40,NULL,NULL
1053,usage-statistics,9,NULL,NULL
1054,benchmarking,31,NULL,NULL
1055,ms-pl,8,NULL,NULL
1057,graphics,86,NULL,NULL
1058,diagrams,97,NULL,NULL
1059,efficiency,157,149572,149571
1061,cluster,40,NULL,NULL
1062,visual-basic-6,16,40774,40773
1066,deadlines,17,232727,232726
1069,access-modifiers,29,NULL,NULL
1070,encryption,107,NULL,NULL
1073,paying,6,NULL,NULL
1074,methods,134,NULL,NULL
1076,desktop,6,NULL,NULL
1082,presentation,24,NULL,NULL
1083,product-management,17,289537,289536
1087,abstraction,154,179350,179349
1088,environment,23,NULL,NULL
1090,recursion,139,NULL,NULL
1092,jsp,37,167540,167539
1093,site-blocking,3,NULL,NULL
1095,nhibernate,31,NULL,NULL
1098,tdd,514,74728,74727
1099,foss,24,147907,147906
1102,intellij,10,NULL,NULL
1103,validation,182,150276,150275
1104,control-structures,32,234334,234333
1107,facebook,30,130406,130405
1109,software-as-a-service,60,179505,179504
1110,teamwork,329,109608,109607
1112,domain-driven-design,693,179326,179325
1113,solid,214,105468,105467
1114,pragmatism,11,NULL,NULL
1115,assembly,135,179338,179337
1116,low-level,62,227976,227975
1118,branching,181,167015,167014
1119,scheduling,87,NULL,NULL
1122,configuration,138,167013,167012
1123,gantt-chart,3,NULL,NULL
1124,e-commerce,55,179515,179514
1128,rest,901,133736,133735
1130,accessibility,11,339906,339905
1132,mockups,7,NULL,NULL
1133,quality,114,NULL,NULL
1137,access,16,NULL,NULL
1139,entrepreneurship,7,NULL,NULL
1143,chrome,29,147025,147024
1144,theory,142,179328,179327
1145,type-casting,54,171465,171464
1147,rdbms,47,NULL,NULL
1148,persistence,86,229036,229035
1149,xaml,30,134217,134216
1151,monodroid,6,NULL,NULL
1153,apache,54,284713,284712
1155,time-estimation,47,172864,172863
1157,linq,76,133807,133806
1158,lambda,67,352133,352132
1160,wiki,16,NULL,NULL
1161,redmine,6,237490,237489
1162,advantages,3,NULL,NULL
1163,technical-debt,60,130666,130665
1164,ios,358,55121,55120
1165,team-leader,63,40778,40777
1170,team-building,18,NULL,NULL
1171,activity,16,NULL,NULL
1173,diff,19,NULL,NULL
1175,erlang,37,124157,124156
1176,symbian,2,NULL,NULL
1177,gui-design,22,NULL,NULL
1178,enum,92,166713,166712
1183,sdlc,71,199622,199621
1185,delimited-files,3,NULL,NULL
1186,file-handling,123,167536,167535
1188,stored-procedures,52,NULL,NULL
1189,packages,104,233975,233974
1191,product-design,3,NULL,NULL
1193,metrics,77,NULL,NULL
1194,web-browser,18,NULL,NULL
1195,terms-of-service,10,NULL,NULL
1197,internet,30,NULL,NULL
1198,myth,3,NULL,NULL
1199,messaging,47,NULL,NULL
1201,pubsub,25,340237,340236
1202,middleware,28,207375,207374
1207,distribution,44,194933,194932
1209,haskell,232,72650,72649
1214,ebook,8,NULL,NULL
1222,data,305,196638,196637
1223,usability,31,178418,178417
1226,professional-development,12,NULL,NULL
1237,enterprise-development,43,352126,352125
1243,cassandra,21,NULL,NULL
1246,review,23,NULL,NULL
1247,mentor,9,NULL,NULL
1249,manuals,5,NULL,NULL
1250,production,57,NULL,NULL
1251,legacy,96,99221,99220
1252,dll,39,NULL,NULL
1253,ansi,7,229742,229741
1255,iso,18,NULL,NULL
1257,captcha,8,337636,337635
1259,reinventing-the-wheel,12,261857,261856
1260,unions,5,NULL,NULL
1261,code-organization,89,NULL,NULL
1265,svn,210,48844,48843
1266,attributes,16,NULL,NULL
1267,modeling,108,NULL,NULL
1269,networking,169,350691,350690
1273,software-evaluation,11,NULL,NULL
1274,mef,9,NULL,NULL
1275,code-layout,9,NULL,NULL
1276,whitespace,18,NULL,NULL
1280,user-control,13,NULL,NULL
1281,desktop-application,75,NULL,NULL
1282,robotics,8,234190,234189
1283,difference,18,NULL,NULL
1285,garbage-collection,91,238072,238071
1286,smart-pointer,26,317549,317548
1287,readability,163,119854,119853
1290,asp.net-mvc,487,86423,86422
1291,methodology,94,NULL,NULL
1294,user-interface,167,134617,134616
1296,porting,45,NULL,NULL
1301,winforms,94,166834,166833
1302,application-design,97,138781,138780
1310,pitfalls,5,NULL,NULL
1313,app,47,NULL,NULL
1315,invariants,15,167353,167352
1321,aesthetics,2,NULL,NULL
1322,declarative,8,NULL,NULL
1331,data-structures,675,134627,134626
1332,binary-tree,47,NULL,NULL
1333,idioms,31,NULL,NULL
1334,business-logic,117,NULL,NULL
1335,business-rules,47,NULL,NULL
1336,rules-and-constraints,33,NULL,NULL
1337,constructs,3,NULL,NULL
1338,documentation-generation,44,84905,84904
1339,wysiwyg,6,NULL,NULL
1343,visual-c++,17,NULL,NULL
1344,compiler,369,244548,244547
1345,design-principles,44,NULL,NULL
1346,data-mining,25,189071,189070
1348,nunit,15,131864,131863
1349,xhtml,16,NULL,NULL
1350,windows-phone-7,32,158719,158718
1351,licensing,1308,104482,104481
1354,mvvm,181,179348,179347
1356,system-reliability,10,NULL,NULL
1357,sockets,101,345003,345002
1366,import,18,NULL,NULL
1368,git,792,49054,49053
1370,bug,127,133718,133717
1377,encapsulation,145,NULL,NULL
1378,chart,8,NULL,NULL
1381,android-market,22,NULL,NULL
1384,clearcase,6,NULL,NULL
1385,mdd,11,232526,232525
1386,lazy-initialization,26,NULL,NULL
1387,type-systems,128,252223,252222
1390,flex,12,95835,95834
1391,bdd,104,103975,103974
1393,source-code,225,155251,155250
1396,handheld,2,NULL,NULL
1402,copy-paste-programming,7,NULL,NULL
1407,concepts,100,337092,337091
1408,software-schedules,5,NULL,NULL
1412,qa,97,80528,80527
1413,aptana,2,NULL,NULL
1416,zend-framework,45,133791,133790
1417,cakephp,16,171377,171376
1418,codeigniter,39,319738,319737
1422,imagemagick,3,NULL,NULL
1424,grails,22,139737,139736
1426,64-bit,18,NULL,NULL
1427,32-bit,12,NULL,NULL
1430,xcode,36,79405,79404
1434,dba,6,182188,182187
1437,publications,5,NULL,NULL
1439,gcc,29,300557,300556
1440,templates,100,NULL,NULL
1441,freeware,8,NULL,NULL
1442,pyqt4,8,NULL,NULL
1445,drupal,14,121111,121110
1448,technical-support,17,NULL,NULL
1454,synchronization,123,NULL,NULL
1457,vi,4,NULL,NULL
1461,admob,1,136726,136725
1463,advertisement,10,NULL,NULL
1464,game-development,183,145708,145707
1465,simulation,38,NULL,NULL
1466,demonstration,4,NULL,NULL
1468,internship,27,118903,118902
1472,ria,7,NULL,NULL
1473,clr,23,213249,213248
1474,protocol,58,NULL,NULL
1479,null,87,287778,287777
1485,junior-programmer,73,143945,143944
1492,friends,4,NULL,NULL
1493,database-design,840,84223,84222
1495,privacy,27,NULL,NULL
1500,mootools,3,NULL,NULL
1501,patterns-and-practices,220,NULL,NULL
1503,development-approach,20,NULL,NULL
1506,dependency-injection,401,138422,138421
1512,node.js,313,179334,179333
1521,high-level,22,227978,227977
1522,visual-studio-2008,4,NULL,NULL
1525,coupling,87,NULL,NULL
1527,http,222,182195,182194
1528,tcp,61,NULL,NULL
1531,online-identity,5,NULL,NULL
1535,web-design,40,132602,132601
1539,type-safety,24,NULL,NULL
1540,weak-typing,9,NULL,NULL
1543,localization,44,155224,155223
1547,copy-protection,19,313524,313523
1548,ironpython,4,NULL,NULL
1554,startup,51,137907,137906
1557,code-kata,4,NULL,NULL
1560,search,132,NULL,NULL
1561,law,15,283275,283274
1563,systems-analysis,30,335972,335971
1571,language-discussion,10,NULL,NULL
1572,command-line,50,339616,339615
1573,editor,14,NULL,NULL
1575,systems,6,347059,347058
1576,projects-and-solutions,48,NULL,NULL
1579,monad,38,NULL,NULL
1581,cucumber,23,229006,229005
1582,specflow,12,165151,165150
1583,xauth,2,NULL,NULL
1585,active-directory,18,NULL,NULL
1586,easter-eggs,2,NULL,NULL
1592,dom,28,NULL,NULL
1595,dsl,37,154830,154829
1596,runtime,48,167538,167537
1599,swing,50,NULL,NULL
1600,maintainability,115,163904,163903
1601,measurement,23,NULL,NULL
1604,change,17,NULL,NULL
1606,xna,5,NULL,NULL
1611,msbuild,13,NULL,NULL
1612,commandline-build-tool,8,NULL,NULL
1615,software-distribution,25,NULL,NULL
1617,transition,6,NULL,NULL
1620,utf-8,17,305446,305445
1621,character-encoding,44,NULL,NULL
1625,intellisense,8,166731,166730
1626,backward-compatibility,31,NULL,NULL
1631,file-extension,6,NULL,NULL
1632,closures,46,210094,210093
1638,hashing,117,229031,229030
1639,strategy,62,303125,303124
1642,r,25,191954,191953
1643,matlab,32,117272,117271
1645,user-experience,99,134615,134614
1647,rewrite,38,NULL,NULL
1652,generics,114,137504,137503
1653,system,26,NULL,NULL
1655,offshore,9,NULL,NULL
1656,bsd-license,98,NULL,NULL
1657,mit-license,155,178500,178499
1658,ecmascript,17,143967,143966
1660,industry-standard,14,NULL,NULL
1662,patents,13,263175,263174
1663,trademark,6,NULL,NULL
1664,evaluation,18,350559,350558
1666,iis,35,284715,284714
1667,virtual-machine,92,143889,143888
1670,python-3.x,77,196114,196113
1671,abstract-class,88,NULL,NULL
1674,x86,29,229033,229032
1677,knowledge-management,10,NULL,NULL
1678,knowledge-base,14,283671,283670
1679,sample,3,NULL,NULL
1681,firefox,20,144319,144318
1682,standards,137,117338,117337
1683,w3c,11,NULL,NULL
1684,count,5,NULL,NULL
1685,aggregate,55,322573,322572
1686,dbms,7,NULL,NULL
1687,web-scraping,27,NULL,NULL
1688,crawlers,5,NULL,NULL
1689,forms,24,NULL,NULL
1690,dictionary,40,NULL,NULL
1691,fortran,26,47884,47883
1693,export,12,NULL,NULL
1694,standard-library,15,NULL,NULL
1697,ssl,27,NULL,NULL
1704,intellectual-property,25,NULL,NULL
1705,date-format,28,NULL,NULL
1706,formatting,24,NULL,NULL
1707,ambiguity,8,NULL,NULL
1708,reflector,2,NULL,NULL
1709,windows-7,12,NULL,NULL
1710,joomla,9,NULL,NULL
1713,appstore,45,NULL,NULL
1714,image-manipulation,37,NULL,NULL
1716,engineering,81,167440,167439
1717,namespace,73,221527,221526
1718,file-storage,33,NULL,NULL
1719,class-design,284,166741,166740
1720,peopleware,5,NULL,NULL
1721,bpm,10,NULL,NULL
1723,business-process,17,NULL,NULL
1724,postfix,8,NULL,NULL
1727,development-environment,128,179344,179343
1737,certificate,17,307596,307595
1738,touchscreens,6,NULL,NULL
1739,asp.net-mvc-3,48,144111,144110
1740,code-snippets,7,NULL,NULL
1741,client-side,62,NULL,NULL
1742,server-side,80,167005,167004
1744,desktop-development,12,NULL,NULL
1750,unix,47,167346,167345
1751,color,19,NULL,NULL
1752,ipv6,5,NULL,NULL
1753,future-proof,13,233224,233223
1756,java-ee,133,130382,130381
1757,error-handling,192,144116,144115
1758,real-time,88,289153,289152
1761,repository,158,358721,358720
1763,human-factors,5,289028,289027
1765,noise,6,NULL,NULL
1766,caching,169,134625,134624
1767,issue-tracking,136,133720,133719
1768,backlog,10,167009,167008
1773,rational-unified-process,11,NULL,NULL
1779,content-management,16,NULL,NULL
1781,toolkit,3,NULL,NULL
1783,developer-tools,15,167527,167526
1786,client-relations,111,170233,170232
1791,natural-language-processing,34,115554,115553
1795,continuous-integration,252,108357,108356
1796,dependencies,125,NULL,NULL
1797,maven,69,91991,91990
1798,commercial,78,NULL,NULL
1801,visio,6,NULL,NULL
1803,finite-state-machine,63,NULL,NULL
1804,parsing,228,140916,140915
1805,hl7,6,47880,47879
1808,micro-isvs,3,NULL,NULL
1809,product-development,3,NULL,NULL
1813,object-oriented-design,1036,167007,167006
1815,ant,9,NULL,NULL
1816,xunit,7,NULL,NULL
1817,hudson,6,NULL,NULL
1818,integration-tests,159,78142,78141
1820,doctrine,13,NULL,NULL
1822,clojure,84,79138,79137
1826,microsoft-access,18,NULL,NULL
1827,neural-networks,36,NULL,NULL
1832,wording,11,NULL,NULL
1833,windows-registry,6,NULL,NULL
1835,ocaml,10,NULL,NULL
1836,numerical-equations,7,NULL,NULL
1838,software-obsolescence,5,NULL,NULL
1844,inversion-of-control,56,218991,218990
1845,ioc-containers,38,NULL,NULL
1846,machine-learning,88,110031,110030
1847,c99,10,67587,67586
1854,prolog,21,199413,199412
1855,proprietary,20,167546,167545
1857,storage,92,171061,171060
1858,linux-kernel,15,NULL,NULL
1861,negotiation,7,NULL,NULL
1862,jenkins,49,119309,119308
1864,apache-license,96,242880,242879
1867,ssd,3,NULL,NULL
1869,bcl,5,NULL,NULL
1870,couchdb,12,180646,180645
1871,mpl,21,206740,206739
1872,layers,106,167534,167533
1874,forum,4,NULL,NULL
1879,delegates,42,NULL,NULL
1881,memory,212,179340,179339
1882,initialization,41,NULL,NULL
1883,default-values,10,NULL,NULL
1884,journal,4,NULL,NULL
1885,im,2,NULL,NULL
1888,gpu,19,NULL,NULL
1891,n-tier,66,NULL,NULL
1897,stack-oriented,6,NULL,NULL
1898,rdms,4,NULL,NULL
1899,decompile,7,235647,235646
1900,scrum-master,23,306498,306497
1903,api-design,514,163390,163389
1908,browser-compatibility,23,NULL,NULL
1909,code-metrics,24,NULL,NULL
1910,cyclomatic-complexity,25,NULL,NULL
1911,tests,16,NULL,NULL
1914,resharper,13,NULL,NULL
1915,linux-development,14,NULL,NULL
1917,sql-server-ce,2,NULL,NULL
1918,sp1,2,NULL,NULL
1920,systems-programming,16,NULL,NULL
1924,rss,9,NULL,NULL
1925,atom,5,NULL,NULL
1930,spreadsheet,9,NULL,NULL
1931,excel,40,NULL,NULL
1932,hadoop,22,213246,213245
1940,cli,20,142046,142045
1942,multilingual,10,NULL,NULL
1944,imperative-languages,9,167350,167349
1945,ibm,8,NULL,NULL
1948,logic-programming,20,NULL,NULL
1951,feature-requests,13,NULL,NULL
1954,prefix,7,NULL,NULL
1964,polyglot,7,NULL,NULL
1970,workflow-foundation,10,NULL,NULL
1978,company,17,NULL,NULL
1981,3d,29,225451,225450
1982,animation,18,NULL,NULL
1983,reading-code,12,NULL,NULL
1985,service-bus,27,NULL,NULL
1986,leadership,11,NULL,NULL
1987,automatic-update,10,NULL,NULL
1991,code-sample,7,NULL,NULL
1992,continuous-delivery,66,64079,64078
1994,grid-computing,6,NULL,NULL
1996,tomcat,36,126828,126827
1997,postgres,71,NULL,NULL
1998,hibernate,66,NULL,NULL
2000,creative-commons,34,NULL,NULL
2002,stm,3,188241,188240
2006,symfony,26,349039,349038
2011,comet,6,NULL,NULL
2012,push,17,NULL,NULL
2015,cloud-computing,121,133724,133723
2016,bitwise-operators,43,227963,227962
2032,lua,28,67159,67158
2033,binding,27,NULL,NULL
